FORMAT: fid, endPt1lat, endPt1lon, endPt2lat, endPt2lon name
46.39672434900001,-63.79515405799998, 46.39444509100002,-63.79159594499998
8286,46.39604122600002,-63.79113776899999,46.396430125999984,-63.79345879800002,Notre Dame
8365,46.396430125999984,-63.79345879800002,46.39672434900001,-63.79515405799998,Notre Dame
12819,46.39672434900001,-63.79515405799998,46.39699991700002,-63.796940173999985,Notre Dame
12790,46.395403122000005,-63.79748924699999,46.39699991700002,-63.796940173999985,Park
9489,46.39502922700001,-63.795610694000004,46.39672434900001,-63.79515405799998,Duke
7184,46.39502922700001,-63.795610694000004,46.395403122000005,-63.79748924699999,North Market
9684,46.39480726599999,-63.79387750199999,46.39502922700001,-63.795610694000004,North Market
11540,46.394461299,-63.795745538999995,46.39502922700001,-63.795610694000004,Duke
6643,46.39422972699998,-63.794103224000025,46.394461299,-63.795745538999995,Market
9851,46.39391308400002,-63.79174435700003,46.39422972699998,-63.794103224000025,Market
992,46.39422972699998,-63.794103224000025,46.39480726599999,-63.79387750199999,Cedar
7706,46.39391308400002,-63.79174435700003,46.39444509100002,-63.79159594499998,Central
3413,46.39444509100002,-63.79159594499998,46.39468567,-63.793111426999985,North Market
6277,46.39468567,-63.793111426999985,46.39480726599999,-63.79387750199999,North Market
1681,46.39480726599999,-63.79387750199999,46.395369499000026,-63.793694415000004,Cedar
3899,46.395369499000026,-63.793694415000004,46.395763397999986,-63.79356619599997,Cedar
4767,46.395763397999986,-63.79356619599997,46.396430125999984,-63.79345879800002,Cedar
3892,46.39539196099997,-63.791323466999984,46.395763397999986,-63.79356619599997,Court
2785,46.39539196099997,-63.791323466999984,46.39604122600002,-63.79113776899999,Central
